ecg_id,strat_fold
1,3
2,2
3,5
4,3
5,4
6,4
7,7
8,9
9,10
10,9
11,5
12,8
13,2
14,7
15,3
16,6
17,9
18,9
19,7
20,9
21,6
22,4
23,9
24,3
25,4
26,9
27,6
28,9
29,4
30,9
31,6
32,1
33,3
34,9
35,1
36,1
37,1
38,10
39,9
40,10
41,9
42,6
43,8
44,4
45,1
46,2
47,9
48,9
49,9
50,7
51,9
52,1
53,8
54,5
55,2
56,2
57,10
58,2
59,10
60,1
61,6
62,9
63,10
64,3
65,10
66,5
67,4
68,7
69,9
70,6
71,8
72,9
73,5
74,8
75,10
76,10
77,6
78,2
79,10
80,2
81,5
82,1
83,4
84,2
85,5
86,2
87,7
88,7
89,4
90,1
91,9
92,8
93,10
94,9
95,5
96,1
97,6
98,8
99,4
100,10
101,4
102,1
103,4
104,4
105,3
106,5
107,5
108,8
109,2
110,3
111,6
112,10
113,8
114,4
115,10
116,10
117,10
118,3
119,10
120,4
121,10
122,10
123,2
124,7
125,7
126,2
127,9
128,10
129,10
130,2
131,8
132,10
133,4
134,9
135,6
136,5
137,8
138,8
139,1
140,9
141,2
142,3
143,9
144,9
145,3
146,7
147,3
148,3
149,1
150,7
151,9
152,9
153,9
154,5
155,9
156,7
157,10
158,4
159,3
160,10
161,5
162,10
163,6
164,3
165,9
166,2
167,10
168,7
169,6
170,9
171,9
172,10
173,9
174,5
175,10
176,2
177,4
178,9
179,3
180,10
181,4
182,6
183,1
184,9
185,7
186,9
187,5
188,1
189,9
190,9
191,3
192,5
193,9
194,8
195,9
196,2
197,4
198,9
199,8
200,8
201,10
202,7
203,10
204,9
205,9
206,4
207,8
208,10
209,2
210,10
211,3
212,4
213,4
214,6
215,6
216,9
217,9
218,10
219,9
220,5
221,2
222,6
223,9
224,3
225,7
226,3
227,7
228,9
229,1
230,7
231,1
232,1
233,9
234,9
235,4
236,2
237,5
238,9
239,6
240,10
241,10
242,5
243,10
244,2
245,10
246,8
247,1
248,2
249,2
250,5
251,5
252,10
253,5
254,5
255,3
256,7
257,3
258,6
259,8
260,7
261,8
262,9
263,5
264,2
265,8
266,9
267,1
268,1
269,8
270,4
271,10
272,4
273,2
274,10
275,1
276,6
277,2
278,5
279,5
280,7
281,9
282,5
283,2
284,3
285,2
286,6
287,9
288,7
289,7
290,8
291,1
292,8
293,9
294,2
295,9
296,3
297,7
298,2
299,10
300,7
301,2
302,2
303,9
304,5
305,8
306,1
307,1
308,1
309,2
310,6
311,1
312,8
313,5
314,6
315,2
316,1
317,8
318,10
319,2
320,1
321,7
322,4
323,2
324,1
325,5
326,9
327,8
328,8
329,4
330,1
331,7
332,6
333,4
334,10
335,7
336,10
337,8
338,8
339,5
340,2
341,3
342,6
343,9
344,1
345,5
346,7
347,10
348,4
349,5
350,6
351,4
352,9
353,8
354,9
355,3
356,6
357,8
358,4
359,2
360,9
361,10
362,2
363,7
364,10
365,9
366,1
367,8
368,9
369,1
370,4
371,7
372,7
373,7
374,6
375,7
376,8
377,10
378,10
379,1
380,5
381,3
382,10
383,9
384,1
385,1
386,9
387,9
388,10
389,3
390,5
391,7
392,5
393,4
394,8
395,3
396,3
397,10
398,9
399,4
400,10
401,6
402,1
403,7
404,4
405,10
406,9
407,5
408,8
409,7
410,3
411,1
412,5
